COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District,MBLR
small_yellow,216,26,1447 WASHINGTON ST,"1447 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0216026
small_red,2062,29,1835 NORIEGA ST,"1835 NORIEGA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4,SF2062029
small_yellow,216,4,1323 LEAVENWORTH ST.,"1323 LEAVENWORTH ST.,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0216004
small_red,1843,49,1401 10TH AV,"1401 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",7,SF1843049
small_yellow,214,7,1216 CLAY ST,"1216 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0214007
small_red,1846,16,1467 07TH AV,"1467 07TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1846016
small_yellow,214,14,1342 JONES ST,"1342 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0214014
small_yellow,152,26,1748 HYDE ST,"1748 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0152026
small_yellow,1089,23,140 COOK ST,"140 COOK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1089023
small_yellow,152,23,1730 HYDE ST,"1730 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0152023
small_yellow,1092,24,146 WOOD ST,"146 WOOD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1092024
small_yellow,150,47,1700 JONES ST,"1700 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0150047
small_yellow,1086,33,291 PARKER AV,"291 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1086033
small_yellow,150,35,1 FLORENCE ST,"1 FLORENCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0150035
small_yellow,1086,36,275 PARKER AV,"275 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1,SF1086036
small_yellow,153,6,1735 HYDE ST,"1735 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0153006
small_yellow,153,11,1705 HYDE ST,"1705 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0153011
small_yellow,1112,33,2230 TURK BL,"2230 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1112033
small_yellow,153,1,1767 HYDE ST,"1767 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0153001
small_yellow,1112,32,2220 TURK BL,"2220 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1112032
small_yellow,1100,42,2025 OFARRELL ST,"2025 OFARRELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1100042
small_yellow,155,44,1243 BROADWAY ST,"1243 BROADWAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0155044
small_yellow,1112,24,90 NIDO AV,"90 NIDO AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1112024
small_yellow,156,44,1656 LEAVENWORTH ST,"1656 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0156044
small_yellow,1115,1,71 TERRA VISTA AV,"71 TERRA VISTA AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1115001
small_yellow,155,2,1661 LEAVENWORTH ST,"1661 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0155002
small_yellow,1112,13,2200 TURK BL,"2200 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1112013
small_yellow,155,43,1245 BROADWAY,"1245 BROADWAY ,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0155043
small_yellow,1112,14,2210 TURK BL,"2210 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1112014
small_yellow,158,13,1046 PACIFIC AV,"1046 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0158013
small_yellow,1152,24,844 BAKER ST,"844 BAKER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1152024
small_yellow,158,24,1534 TAYLOR ST,"1534 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0158024
small_yellow,156,6,1615 JONES ST,"1615 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0156006
small_yellow,1129,012A,1860 TURK ST,"1860 TURK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1129012A
small_yellow,157,6,1513 TAYLOR ST,"1513 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0157006
small_yellow,1130,8,1900 TURK ST,"1900 TURK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF1130008
small_yellow,158,21,1508 TAYLOR ST,"1508 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0158021
small_yellow,159,40,30 WAYNE PL,"30 WAYNE PL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0159040
small_yellow,1155,20,924 DIVISADERO ST,"924 DIVISADERO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1155020
small_yellow,159,10,930 PACIFIC AV,"930 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0159010
small_yellow,1155,13,1560 MCALLISTER ST,"1560 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1155013
small_yellow,1153,008A,1760 GOLDEN GATE AV,"1760 GOLDEN GATE AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1153008A
small_yellow,1153,15,918 BRODERICK ST,"918 BRODERICK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1153015
small_yellow,181,11,1030 JACKSON ST,"1030 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0181011
small_yellow,1157,006A,1712 MCALLISTER ST,"1712 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1157006A
small_yellow,182,14,1180 JACKSON ST,"1180 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0182014
small_yellow,1158,12,1822 MCALLISTER ST,"1822 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1158012
small_yellow,181,28,1454 TAYLOR ST,"1454 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0181028
small_yellow,1156,16,1670 MCALLISTER ST,"1670 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1156016
small_yellow,181,4,1351 MASON ST,"1351 MASON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0181004
small_yellow,1157,2,839 BRODERICK ST,"839 BRODERICK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF1157002
small_red,2854,4,140 GARDENSIDE DR,"140 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2854004
small_red,2854,5,130 GARDENSIDE DR,"130 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2854005
small_red,274,16,995 PINE ST,"995 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0274016
small_red,3538,30,862 14TH ST,"862 14TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3538030
small_yellow,276,21,940 LEAVENWORTH ST,"940 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0276021
small_red,274,23,929 PINE ST,"929 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0274023
small_red,3541,1,106 SANCHEZ ST,"106 SANCHEZ ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3541001
small_yellow,276,20,936 LEAVENWORTH ST,"936 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0276020
small_red,2854,3,150 GARDENSIDE DR,"150 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2854003
small_yellow,274,14,828 TAYLOR ST,"828 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0274014
small_red,274,25,735 MASON ST,"735 MASON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0274025
small_red,3502,106,134 DUBOCE AV,"134 DUBOCE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3502106
small_yellow,276,25,1167 PINE ST,"1167 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0276025
small_red,276,117,1145 PINE ST,"1145 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0276117
small_red,3554,55,1637 15TH ST,"1637 15TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3554055
small_yellow,474,21,1143 BAY ST,"1143 BAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0474021
small_red,277,1,1201 PINE ST,"1201 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0277001
small_red,3554,032A,140 JULIAN AV,"140 JULIAN AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3554032A
small_red,274,21,955 PINE ST,"955 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0274021
small_red,3544,6,140 DOLORES ST,"140 DOLORES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3544006
small_yellow,0438A,12,3727 FILLMORE ST,"3727 FILLMORE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0438A012
small_red,274,24,755 MASON ST,"755 MASON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0274024
small_red,3554,40,179 JULIAN AV,"179 JULIAN AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3554040
small_yellow,474,3,3025 VAN NESS AV,"3025 VAN NESS AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0474003
small_yellow,253,11,1050 PINE ST,"1050 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0253011
small_red,2854,1,428 BURNETT AV,"428 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF2854001
small_yellow,256,26,50 JOICE ST,"50 JOICE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0256026
small_yellow,253,12,1060 PINE ST,"1060 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0253012
small_red,0443A,001D,3665 FILLMORE ST,"3665 FILLMORE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0443A001D
small_red,278,12,1385 PINE ST,"1385 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,SF0278012
small_red,3575,38,2135 MISSION ST,"2135 MISSION ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3575038
small_red,0443A,21,1745 BEACH ST,"1745 BEACH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0443A021
small_red,0460A,9,1640 BAY ST,"1640 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0460A009
small_red,3610,14,3140 21ST ST,"3140 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3610014
small_yellow,496,001A,3035 GOUGH ST,"3035 GOUGH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0496001A
small_red,0463A,33,25 CAPRA WY,"25 CAPRA WY,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0463A033
small_red,3610,54,936 SOUTH VAN NESS AV,"936 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3610054
small_yellow,497,009F,1447 CHESTNUT ST,"1447 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0497009F
small_red,453,4,940 BAY ST,"940 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0453004
small_red,3605,73,3600 21ST ST,"3600 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3605073
