COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District,MBLR
small_yellow,624,5,1950 SACRAMENTO ST,"1950 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0624005
small_yellow,1073,17,2737 SUTTER ST,"2737 SUTTER ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1073017
small_yellow,1154,006B,1610 GOLDEN GATE AV,"1610 GOLDEN GATE AV,SAN FRANCISCO CA",3,Non-Compliant,5,SF1154006B
small_yellow,640,17,2011 SACRAMENTO ST,"2011 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0640017
small_yellow,1181,14,1270 GROVE ST,"1270 GROVE ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1181014
small_yellow,648,8,1762 PINE ST,"1762 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0648008
small_yellow,637,17,2329 SACRAMENTO ST,"2329 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0637017
small_yellow,639,17,2171 SACRAMENTO ST,"2171 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0639017
small_yellow,1267,6,833 COLE ST,"833 COLE ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1267006
small_yellow,652,68,2162 PINE ST,"2162 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0652068
small_yellow,1269,165,1038 CLAYTON ST,"1038 CLAYTON ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1269165
small_yellow,665,36,1755 PINE ST,"1755 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0665036
small_yellow,1185,27,1675 FULTON ST,"1675 FULTON ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1185027
small_yellow,650,8,1920 PINE ST,"1920 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0650008
small_yellow,1212,12,2050 FELL ST,"2050 FELL ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF1212012
small_yellow,651,3,1929 LAGUNA ST,"1929 LAGUNA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0651003
small_yellow,1508,2,517 36TH AV,"517 36TH AV,SAN FRANCISCO CA",3,Non-Compliant,1,SF1508002
small_yellow,1557,11,577 14TH AV,"577 14TH AV,SAN FRANCISCO CA",3,Non-Compliant,1,SF1557011
small_yellow,1385,32,2455 LAKE ST,"2455 LAKE ST,SAN FRANCISCO CA",3,Non-Compliant,1,SF1385032
small_yellow,674,21,1865 BUSH ST,"1865 BUSH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0674021
small_yellow,1432,49,345 ARGUELLO BL,"345 ARGUELLO BL,SAN FRANCISCO CA",3,Non-Compliant,1,SF1432049
small_yellow,681,030A,2245 SUTTER ST,"2245 SUTTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0681030A
small_yellow,1638,24,630 07TH AV,"630 07TH AV,SAN FRANCISCO CA",3,Non-Compliant,1,SF1638024
small_yellow,728,46,1329 PIERCE ST,"1329 PIERCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0728046
small_yellow,1675,26,3145 CABRILLO ST,"3145 CABRILLO ST,SAN FRANCISCO CA",3,Non-Compliant,1,SF1675026
small_yellow,753,6,1570 GOLDEN GATE AV,"1570 GOLDEN GATE AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0753006
small_yellow,688,3,1401 GOUGH ST,"1401 GOUGH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0688003
small_yellow,1568,7,649 25TH AV,"649 25TH AV,SAN FRANCISCO CA",3,Non-Compliant,1,SF1568007
small_yellow,726,13,1428 STEINER ST,"1428 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0726013
small_yellow,2622,6,328 CASTRO ST,"328 CASTRO ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF2622006
small_yellow,776,1,925 PIERCE ST,"925 PIERCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0776001
small_yellow,2659,36,297 CORBETT AV,"297 CORBETT AV,SAN FRANCISCO CA",3,Non-Compliant,8,SF2659036
small_yellow,777,5,1100 FULTON ST,"1100 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0777005
small_yellow,1730,7,1241 20TH AVE,"1241 20TH AVE,SAN FRANCISCO CA",3,Non-Compliant,4,SF1730007
small_yellow,774,14,1040 STEINER ST,"1040 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0774014
small_yellow,1741,16,1277 09TH AV,"1277 09TH AV,SAN FRANCISCO CA",3,Non-Compliant,5,SF1741016
small_yellow,775,3,1025 STEINER ST,"1025 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0775003
small_yellow,683,29,2053 SUTTER ST,"2053 SUTTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0683029
small_yellow,596,5,1831 LARKIN ST,"1831 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0596005
small_yellow,597,13,1674 WASHINGTON ST,"1674 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0597013
small_yellow,596,13,1542 JACKSON ST,"1542 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0596013
small_yellow,596,11,1524 JACKSON ST,"1524 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0596011
small_yellow,598,6,1740 WASHINGTON ST,"1740 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0598006
small_yellow,600,21,1885 JACKSON ST,"1885 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0600021
small_yellow,600,7,1948 WASHINGTON ST,"1948 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0600007
small_yellow,502,4,1400 GREENWICH ST,"1400 GREENWICH ST,SAN FRANCISCO CA",3,Non-Compliant,2,SF0502004
small_yellow,604,28,2275 JACKSON ST,"2275 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0604028
small_yellow,577,001C,1807 BROADWAY,"1807 BROADWAY ,SAN FRANCISCO CA",3,Non-Compliant,2,SF0577001C
small_yellow,604,19,2380 WASHINGTON ST,"2380 WASHINGTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0604019
small_yellow,217,20,1575 WASHINGTON ST,"1575 WASHINGTON ST,SAN FRANCISCO CA",3,Non-Compliant,3,SF0217020
small_yellow,603,12,2426 BUCHANAN ST,"2426 BUCHANAN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0603012
small_yellow,247,29,7 LEROY PL,"7 LEROY PL,SAN FRANCISCO CA",3,Non-Compliant,3,SF0247029
small_yellow,604,31,2251 JACKSON ST,"2251 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0604031
small_yellow,621,17,1675 CLAY ST,"1675 CLAY ST,SAN FRANCISCO CA",3,Non-Compliant,3,SF0621017
small_yellow,606,30,2430 STEINER ST,"2430 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0606030
small_yellow,637,19,2315 SACRAMENTO ST,"2315 SACRAMENTO ST,SAN FRANCISCO CA",3,Non-Compliant,2,SF0637019
small_yellow,621,9,1630 SACRAMENTO ST,"1630 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0621009
small_yellow,592,1,1901 PACIFIC AV,"1901 PACIFIC AV,SAN FRANCISCO CA",3,Non-Compliant,2,SF0592001
small_yellow,604,33,2241 JACKSON ST,"2241 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0604033
small_yellow,596,44,1550 JACKSON ST,"1550 JACKSON ST,SAN FRANCISCO CA",3,Non-Compliant,3,SF0596044
small_yellow,606,29,2420 STEINER ST,"2420 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0606029
small_yellow,638,2,2015 LAGUNA ST,"2015 LAGUNA ST,SAN FRANCISCO CA",3,Non-Compliant,2,SF0638002
small_yellow,775,5,1322 MCALLISTER ST,"1322 MCALLISTER ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF0775005
small_yellow,621,12,1660 SACRAMENTO ST,"1660 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0621012
small_yellow,776,26,1511 GOLDEN GATE AV,"1511 GOLDEN GATE AV,SAN FRANCISCO CA",3,Non-Compliant,5,SF0776026
small_yellow,621,21,1627 CLAY ST,"1627 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0621021
small_yellow,621,20,1635 CLAY ST,"1635 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0621020
small_yellow,824,9,1167 HAYES ST,"1167 HAYES ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF0824009
small_yellow,623,007B,1848 FRANKLIN ST,"1848 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0623007B
small_yellow,842,25,651 OAK ST,"651 OAK ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF0842025
small_yellow,623,7,1832 FRANKLIN ST,"1832 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0623007
small_yellow,806,40,616 HAYES ST,"616 HAYES ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF0806040
small_yellow,623,007A,1840 FRANKLIN ST,"1840 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0623007A
small_yellow,824,8,1173 HAYES ST,"1173 HAYES ST,SAN FRANCISCO CA",3,Non-Compliant,5,SF0824008
small_yellow,623,8,1865 CLAY ST,"1865 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0623008
small_red,853,4,48 HAIGHT ST,"48 HAIGHT ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0853004
small_red,841,3,415 BUCHANAN ST,"415 BUCHANAN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0841003
small_yellow,6511,001C,3653 24TH ST,"3653 24TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF6511001C
small_red,847,1,399 STEINER ST,"399 STEINER ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0847001
small_red,918,1,3555 BRODERICK ST,"3555 BRODERICK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0918001
small_yellow,26,13,838 BAY ST,"838 BAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0026013
small_red,918,002C,2300 NORTH POINT ST,"2300 NORTH POINT ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0918002C
small_yellow,27,4,714 BAY ST,"714 BAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0027004
small_red,853,2,75 GOUGH ST,"75 GOUGH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0853002
small_yellow,6652,29,471 30TH ST,"471 30TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF6652029
small_red,856,21,119 HAIGHT ST,"119 HAIGHT ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0856021
small_yellow,7161,46,3185 SAN JOSE AV,"3185 SAN JOSE AV,SAN FRANCISCO CA",3,Non-Compliant,11,SF7161046
small_red,929,17,2360 CHESTNUT ST,"2360 CHESTNUT ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0929017
small_yellow,61,21,289 CHESTNUT ST,"289 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0061021
small_red,941,26,2875 GREENWICH ST,"2875 GREENWICH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0941026
small_yellow,71,10,2200 HYDE ST,"2200 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0071010
small_red,921,21,2190 BAY ST,"2190 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0921021
small_yellow,44,18,653 BAY ST,"653 BAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0044018
small_red,928,9,2200 FRANCISCO ST,"2200 FRANCISCO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0928009
small_yellow,60,16,199 CHESTNUT ST,"199 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0060016
small_yellow,6631,44,407 29TH ST,"407 29TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF6631044
small_yellow,6639,24,488 30TH ST,"488 30TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF6639024
small_red,975,4,3016 JACKSON ST,"3016 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0975004
small_red,1015,17,3852 CALIFORNIA ST,"3852 CALIFORNIA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1015017
small_red,1040,38,340 ARGUELLO BL,"340 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1040038
small_yellow,87,15,24 GERKE AL,"24 GERKE AL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0087015
small_red,1042,16,90 HEATHER AV,"90 HEATHER AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1042016
small_yellow,90,39,1926 MASON ST,"1926 MASON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0090039
small_red,1036,19,90 PARKER AV,"90 PARKER AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1036019
small_yellow,86,001C,1441 MONTGOMERY ST,"1441 MONTGOMERY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0086001C
small_red,1040,40,300 ARGUELLO BL,"300 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1040040
small_yellow,87,25,409 GREENWICH ST,"409 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0087025
small_red,1057,9,99 LUPINE AV,"99 LUPINE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1057009
small_yellow,91,22,2016 TAYLOR ST,"2016 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0091022
small_red,1058,12,10 LUPINE AV,"10 LUPINE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1058012
small_red,1055,11,750 PRESIDIO AV,"750 PRESIDIO AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1055011
small_yellow,91,49,851 GREENWICH ST,"851 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0091049
small_red,1057,13,600 LAUREL ST,"600 LAUREL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1057013
small_yellow,91,27,55 VALPARAISO ST,"55 VALPARAISO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0091027
small_yellow,77,11,500 GREENWICH ST,"500 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0077011
small_red,1031,26,3167 CALIFORNIA ST,"3167 CALIFORNIA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1031026
small_yellow,86,51,333 GREENWICH ST,"333 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0086051
small_yellow,74,38,816 GREENWICH ST,"816 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3,SF0074038
small_yellow,3583,4,518 NOE ST,"518 NOE ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3583004
small_yellow,3533,57,191 DUBOCE AV,"191 DUBOCE AV,SAN FRANCISCO CA",3,Non-Compliant,8,SF3533057
small_yellow,778,1,993 STEINER ST,"993 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0778001
small_yellow,3556,19,3222 16TH ST,"3222 16TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3556019
small_red,805,17,780 HAYES ST,"780 HAYES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0805017
small_yellow,3607,75,109 LIBERTY ST,"109 LIBERTY ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3607075
small_yellow,821,36,829 HAYES ST,"829 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0821036
small_red,809,004A,305 FRANKLIN ST,"305 FRANKLIN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0809004A
small_yellow,3610,3,924 SOUTH VAN NESS AV,"924 SOUTH VAN NESS AV,SAN FRANCISCO CA",3,Non-Compliant,9,SF3610003
small_yellow,822,19,874 FELL ST,"874 FELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0822019
small_yellow,3589,20,3418 19TH ST,"3418 19TH ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF3589020
small_yellow,808,19,550 OCTAVIA ST,"550 OCTAVIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0808019
small_yellow,3597,25,3672 20TH ST,"3672 20TH ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3597025
small_yellow,819,6,528 FELL ST,"528 FELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0819006
small_red,819,12,566 FELL ST,"566 FELL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0819012
small_yellow,3640,62,3019 23RD ST,"3019 23RD ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF3640062
small_yellow,825,37,419 PIERCE ST,"419 PIERCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0825037
small_red,823,1,655 STEINER ST,"655 STEINER ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0823001
small_yellow,3646,14,1135 GUERRERO ST,"1135 GUERRERO ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3646014
small_yellow,826,23,880 OAK ST,"880 OAK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0826023
small_red,816,9,330 GOUGH ST,"330 GOUGH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0816009
small_yellow,3615,006A,1062 SOUTH VAN NESS AV,"1062 SOUTH VAN NESS AV,SAN FRANCISCO CA",3,Non-Compliant,9,SF3615006A
small_yellow,824,12,556 SCOTT ST,"556 SCOTT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0824012
small_red,818,2,431 OCTAVIA ST,"431 OCTAVIA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0818002
small_yellow,3640,61,3025 23RD ST,"3025 23RD ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF3640061
small_yellow,824,002D,1133 HAYES ST,"1133 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0824002D
small_yellow,779,20,950 STEINER ST,"950 STEINER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0779020
small_yellow,805,35,725 GROVE ST,"725 GROVE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0805035
small_red,825,40,900 OAK ST,"900 OAK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0825040
small_red,826,24,400 PIERCE ST,"400 PIERCE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0826024
small_red,824,002B,1050 FELL ST,"1050 FELL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0824002B
small_yellow,3647,1,3601 23RD ST,"3601 23RD ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3647001
small_red,824,2,1145 HAYES ST,"1145 HAYES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0824002
small_yellow,3654,1,1048 SANCHEZ ST,"1048 SANCHEZ ST,SAN FRANCISCO CA",3,Non-Compliant,8,SF3654001
small_red,828,1,701 FELL ST,"701 FELL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0828001
small_yellow,4273,11,2774 BRYANT ST,"2774 BRYANT ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF4273011
small_yellow,830,4,405 LAGUNA ST,"405 LAGUNA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0830004
small_red,830,15,520 BUCHANAN ST,"520 BUCHANAN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0830015
small_yellow,4700,31,707 JERROLD AV,"707 JERROLD AV,SAN FRANCISCO CA",3,Non-Compliant,10,SF4700031
small_yellow,837,13,130 GOUGH ST,"130 GOUGH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0837013
small_yellow,3727,219,626 NATOMA ST,"626 NATOMA ST,SAN FRANCISCO CA",3,Non-Compliant,6,SF3727219
small_yellow,828,006A,606 OAK ST,"606 OAK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0828006A
small_red,828,001A,445 WEBSTER ST,"445 WEBSTER ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0828001A
small_yellow,3731,117,1011 HOWARD ST,"1011 HOWARD ST,SAN FRANCISCO CA",3,Non-Compliant,6,SF3731117
small_yellow,829,16,528 OAK ST,"528 OAK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0829016
small_red,839,18,350 LAGUNA ST,"350 LAGUNA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0839018
small_yellow,6121,23,195 WOOLSEY ST,"195 WOOLSEY ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF6121023
small_yellow,842,3,333 WEBSTER ST,"333 WEBSTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0842003
small_red,841,004A,400 PAGE ST,"400 PAGE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0841004A
small_yellow,6172,24,3334 SAN BRUNO AV,"3334 SAN BRUNO AV,SAN FRANCISCO CA",3,Non-Compliant,10,SF6172024
small_red,837,15,157 OAK ST,"157 OAK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0837015
small_yellow,5501,058A,3351 CESAR CHAVEZ ST,"3351 CESAR CHAVEZ ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF5501058A
small_yellow,837,7,52 PAGE ST,"52 PAGE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0837007
small_red,838,31,235 OAK ST,"235 OAK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF0838031
small_yellow,5988,17,300 HAMILTON ST,"300 HAMILTON ST,SAN FRANCISCO CA",3,Non-Compliant,9,SF5988017
small_yellow,842,2,337 WEBSTER ST,"337 WEBSTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0842002
small_yellow,827,24,867 FELL ST,"867 FELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0827024
small_yellow,3726,73,566 NATOMA ST,"566 NATOMA ST,SAN FRANCISCO CA",3,Non-Compliant,6,SF3726073
small_yellow,827,30,823 FELL ST,"823 FELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0827030
small_yellow,826,008A,860 OAK ST,"860 OAK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5,SF0826008A
small_red,2629A,27,400 UPPER TR,"400 UPPER TR,SAN FRANCISCO CA",2,Non-Compliant,8,SF2629A027
small_red,2832,22,630 GRAND VIEW AV,"630 GRAND VIEW AV,SAN FRANCISCO CA",2,Non-Compliant,8,SF2832022
small_red,1272,11,144 PARNASSUS AV,"144 PARNASSUS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1272011
small_red,2854,8,98 PARKRIDGE DR,"98 PARKRIDGE DR,SAN FRANCISCO CA",2,Non-Compliant,8,SF2854008
small_red,1275,5,1355 WILLARD ST,"1355 WILLARD ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1275005
small_red,2746,35,3500 MARKET ST,"3500 MARKET ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF2746035
small_red,1254,045A,1485 WALLER ST,"1485 WALLER ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1254045A
small_red,2771,58,650 ALVARADO ST,"650 ALVARADO ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF2771058
small_red,1266,19,294 CARL ST,"294 CARL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1266019
small_red,3562,28,3661 16TH ST,"3661 16TH ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF3562028
small_red,3588,65,611 GUERRERO ST,"611 GUERRERO ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF3588065
small_red,3534,017A,550 14TH ST,"550 14TH ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF3534017A
small_red,1275,1,301 CARL ST,"301 CARL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1275001
small_red,3542,28,101 SANCHEZ ST,"101 SANCHEZ ST,SAN FRANCISCO CA",2,Non-Compliant,8,SF3542028
small_red,1355,12,100 LAKE ST,"100 LAKE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF1355012
small_red,2633,1,301 PARNASSUS AV,"301 PARNASSUS AV,SAN FRANCISCO CA",2,Non-Compliant,5,SF2633001
small_red,1227,28,2065 OAK ST,"2065 OAK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1227028
small_red,2659,55,311 CORBETT AV,"311 CORBETT AV,SAN FRANCISCO CA",2,Non-Compliant,8,SF2659055
small_red,1228,10,1965 PAGE ST,"1965 PAGE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1228010
small_red,1221,24,230 CENTRAL AV,"230 CENTRAL AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,SF1221024
