COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_red,1843,049,1401 10TH AV,"1401 10TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",7
small_yellow,0214,007,1216 CLAY ST,"1216 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1846,016,1467 07TH AV,"1467 07TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0214,014,1342 JONES ST,"1342 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0152,026,1748 HYDE ST,"1748 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1089,023,140 COOK ST,"140 COOK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0152,023,1730 HYDE ST,"1730 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1092,024,146 WOOD ST,"146 WOOD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0150,047,1700 JONES ST,"1700 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1086,033,291 PARKER AV,"291 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0150,035,1 FLORENCE ST,"1 FLORENCE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1086,036,275 PARKER AV,"275 PARKER AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",1
small_yellow,0153,006,1735 HYDE ST,"1735 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0153,011,1705 HYDE ST,"1705 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1112,033,2230 TURK BL,"2230 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0153,001,1767 HYDE ST,"1767 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1112,032,2220 TURK BL,"2220 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,1100,042,2025 OFARRELL ST,"2025 OFARRELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0155,044,1243 BROADWAY ST,"1243 BROADWAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1112,024,90 NIDO AV,"90 NIDO AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0156,044,1656 LEAVENWORTH ST,"1656 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1115,001,71 TERRA VISTA AV,"71 TERRA VISTA AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0155,002,1661 LEAVENWORTH ST,"1661 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1112,013,2200 TURK BL,"2200 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0155,043,1245 BROADWAY,"1245 BROADWAY ,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1112,014,2210 TURK BL,"2210 TURK BL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0158,013,1046 PACIFIC AV,"1046 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1152,024,844 BAKER ST,"844 BAKER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0158,024,1534 TAYLOR ST,"1534 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0156,006,1615 JONES ST,"1615 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1129,012A,1860 TURK ST,"1860 TURK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0157,006,1513 TAYLOR ST,"1513 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1130,008,1900 TURK ST,"1900 TURK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0158,021,1508 TAYLOR ST,"1508 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0159,040,30 WAYNE PL,"30 WAYNE PL,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1155,020,924 DIVISADERO ST,"924 DIVISADERO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0159,010,930 PACIFIC AV,"930 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1155,013,1560 MCALLISTER ST,"1560 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1153,008A,1760 GOLDEN GATE AV,"1760 GOLDEN GATE AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1153,015,918 BRODERICK ST,"918 BRODERICK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0181,011,1030 JACKSON ST,"1030 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1157,006A,1712 MCALLISTER ST,"1712 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0182,014,1180 JACKSON ST,"1180 JACKSON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1158,012,1822 MCALLISTER ST,"1822 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0181,028,1454 TAYLOR ST,"1454 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1156,016,1670 MCALLISTER ST,"1670 MCALLISTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,0181,004,1351 MASON ST,"1351 MASON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,1157,002,839 BRODERICK ST,"839 BRODERICK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_red,2854,004,140 GARDENSIDE DR,"140 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,2854,005,130 GARDENSIDE DR,"130 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,0274,016,995 PINE ST,"995 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3538,030,862 14TH ST,"862 14TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0276,021,940 LEAVENWORTH ST,"940 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0274,023,929 PINE ST,"929 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3541,001,106 SANCHEZ ST,"106 SANCHEZ ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0276,020,936 LEAVENWORTH ST,"936 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2854,003,150 GARDENSIDE DR,"150 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0274,014,828 TAYLOR ST,"828 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0274,025,735 MASON ST,"735 MASON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3502,106,134 DUBOCE AV,"134 DUBOCE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0276,025,1167 PINE ST,"1167 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0276,117,1145 PINE ST,"1145 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3554,055,1637 15TH ST,"1637 15TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0474,021,1143 BAY ST,"1143 BAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0277,001,1201 PINE ST,"1201 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3554,032A,140 JULIAN AV,"140 JULIAN AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_red,0274,021,955 PINE ST,"955 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3544,006,140 DOLORES ST,"140 DOLORES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0438A,012,3727 FILLMORE ST,"3727 FILLMORE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0274,024,755 MASON ST,"755 MASON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3554,040,179 JULIAN AV,"179 JULIAN AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0474,003,3025 VAN NESS AV,"3025 VAN NESS AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
