COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_yellow,0105,051,100 ALTA ST,"100 ALTA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1505,039,7555 GEARY BL,"7555 GEARY BL,SAN FRANCISCO CA",2,Non-Compliant,1
small_red,1102,001,1261 BRODERICK ST,"1261 BRODERICK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_yellow,0106,034D,40 ALTA ST,"40 ALTA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1065,053,3220 GEARY BL,"3220 GEARY BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_yellow,0096,043,1267 FILBERT ST,"1267 FILBERT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,1065,051,455 EUCLID AV,"455 EUCLID AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_yellow,0097,010,1120 UNION ST,"1120 UNION ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0093,025,1021 GREENWICH ST,"1021 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0094C,101,1101 GREENWICH ST,"1101 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,1733,001,1601 LINCOLN WY,"1601 LINCOLN WY,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1736,039,1300 IRVING ST,"1300 IRVING ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1843,051,1421 10TH AV,"1421 10TH AV,SAN FRANCISCO CA",2,Non-Compliant,7
small_red,1167,043,756 ARGUELLO BL,"756 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_yellow,0122,030,1158 GREEN ST,"1158 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1846,019,1495 07TH AV,"1495 07TH AV,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1167,042,2750 MCALLISTER ST,"2750 MCALLISTER ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_yellow,0122,027C,1129 UNION ST,"1129 UNION ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1775,051,1500 JUDAH ST,"1500 JUDAH ST,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1154,006A,1600 GOLDEN GATE AV,"1600 GOLDEN GATE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0121,011,1900 LEAVENWORTH ST,"1900 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1833,014A,1640 KIRKHAM ST,"1640 KIRKHAM ST,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1155,024,998 DIVISADERO ST,"998 DIVISADERO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0121,012,1928 LEAVENWORTH ST,"1928 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2449,026,2690 GREAT HY,"2690 GREAT HY,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1219,001,291 BRODERICK ST,"291 BRODERICK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_red,2623,010,2450 MARKET ST,"2450 MARKET ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1894,057,1576 GREAT HY,"1576 GREAT HY,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1168,027,860 ARGUELLO BL,"860 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_yellow,0125,010,1274 VALLEJO ST,"1274 VALLEJO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2378,035,2444 GREAT HY,"2444 GREAT HY,SAN FRANCISCO CA",2,Non-Compliant,4
small_red,1212,011,2030 FELL ST,"2030 FELL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0106,034,50 ALTA ST,"50 ALTA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1153,006,1700 GOLDEN GATE AV,"1700 GOLDEN GATE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0119,009,802 GREEN ST,"802 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1742,014,1275 08TH AV,"1275 08TH AV,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1154,001,1701 TURK ST,"1701 TURK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0120,015,1950 JONES ST,"1950 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0113,015,280 GREEN ST,"280 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,1152,019,1888 GOLDEN GATE AV,"1888 GOLDEN GATE AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0118,007,1615 POWELL ST,"1615 POWELL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0187,027,1371 JACKSON ST,"1371 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0187,010,1440 WASHINGTON ST,"1440 WASHINGTON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0184,009,1312 JACKSON ST,"1312 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0184,010,1324 JACKSON ST,"1324 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0156,003,1635 JONES ST,"1635 JONES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0182,008,1120 JACKSON ST,"1120 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0183,017,1290 JACKSON ST,"1290 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0183,003,1537 JONES ST,"1537 JONES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0182,004,1441 TAYLOR ST,"1441 TAYLOR ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0182,036,1100 JACKSON ST,"1100 JACKSON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0219,004,1201 LEAVENWORTH ST,"1201 LEAVENWORTH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0216,001,1355 LEAVENWORTH ST,"1355 LEAVENWORTH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0218,019,1595 CLAY ST,"1595 CLAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0189,018,1456 JONES ST,"1456 JONES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0190,016,1380 TAYLOR ST,"1380 TAYLOR ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0187,037,1429 LEAVENWORTH ST,"1429 LEAVENWORTH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0216,009,1440 CLAY ST,"1440 CLAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0216,010,1450 CLAY ST,"1450 CLAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0213,016,1224 TAYLOR ST,"1224 TAYLOR ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0214,005,1225 TAYLOR ST,"1225 TAYLOR ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,6593,005,228 DUNCAN ST,"228 DUNCAN ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1544,053,629 ARGUELLO BL,"629 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,7546,102,105 ADDISON ST,"105 ADDISON ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1565,012G,2150 BALBOA ST,"2150 BALBOA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6539,004,1450 CASTRO ST,"1450 CASTRO ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1538,039,420 07TH AV,"420 07TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6581,045,4155 CESAR CHAVEZ ST,"4155 CESAR CHAVEZ ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1544,052,699 ARGUELLO BL,"699 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,7550,102,116 MORELAND ST,"116 MORELAND ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,7551,102,2425 DIAMOND ST,"2425 DIAMOND ST,SAN FRANCISCO CA",2,Non-Compliant,8
small_red,1467,022,7100 GEARY BL,"7100 GEARY BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,1472,024,7630 GEARY BL,"7630 GEARY BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6518,019,949 CAPP ST,"949 CAPP ST,SAN FRANCISCO CA",2,Non-Compliant,9
small_red,1530,033,465 14TH AV,"465 14TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6530,001A,3465 25TH ST,"3465 25TH ST,SAN FRANCISCO CA",2,Non-Compliant,9
small_red,1530,034,438 15TH AV,"438 15TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6515,008,324 BARTLETT ST,"324 BARTLETT ST,SAN FRANCISCO CA",2,Non-Compliant,9
small_red,1506,001,501 38TH AV,"501 38TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,6515,023,1341 VALENCIA ST,"1341 VALENCIA ST,SAN FRANCISCO CA",2,Non-Compliant,9
small_red,1515,042,524 30TH AV,"524 30TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0132,046,566 VALLEJO ST,"566 VALLEJO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1735,018,1295 15TH AV,"1295 15TH AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_red,0133,005,1141 MONTGOMERY ST,"1141 MONTGOMERY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,0122,001,1955 LEAVENWORTH ST,"1955 LEAVENWORTH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1673,021,5400 FULTON ST,"5400 FULTON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0122,036,1925 LEAVENWORTH ST,"1925 LEAVENWORTH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1701,001A,1280 GREAT HY,"1280 GREAT HY,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_red,0147,011,754 BROADWAY,"754 BROADWAY ,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1604,029,720 41ST AV,"720 41ST AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,1446,019,375 14TH AV,"375 14TH AV,SAN FRANCISCO CA",2,"Work Complete ,CFC Issued",1
small_red,1641,023,695 03RD AV,"695 03RD AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,1591,005J,4740 BALBOA ST,"4740 BALBOA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0098,005,1048 UNION ST,"1048 UNION ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,1644,034,1 CABRILLO ST,"1 CABRILLO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0113,016A,290 GREEN ST,"290 GREEN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1671,015,2715 CABRILLO ST,"2715 CABRILLO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0065,025,700 LOMBARD ST,"700 LOMBARD ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1643,053,777 ARGUELLO BL,"777 ARGUELLO BL,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0098,002,1000 UNION ST,"1000 UNION ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,1644,033,720 02ND AV,"720 02ND AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",1
small_red,0856,023,115 HAIGHT ST,"115 HAIGHT ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1031,027,3151 CALIFORNIA ST,"3151 CALIFORNIA ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0934,001,3155 BRODERICK ST,"3155 BRODERICK ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0937,003,3101 SCOTT ST,"3101 SCOTT ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0856,012,100 LAGUNA ST,"100 LAGUNA ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0928,001,2101 BAY ST,"2101 BAY ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,1001,023,2148 BRODERICK ST,"2148 BRODERICK ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,1020,012,3398 CALIFORNIA ST,"3398 CALIFORNIA ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0998,001,3201 WASHINGTON ST,"3201 WASHINGTON ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,1001,021,2136 BRODERICK ST,"2136 BRODERICK ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,1061,050,105 PALM AV,"105 PALM AV,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,1145A,023,520 PARKER AV,"520 PARKER AV,SAN FRANCISCO CA",2,Non-Compliant,1
small_red,1178,012,1470 FULTON ST,"1470 FULTON ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1178,027,1715 MCALLISTER ST,"1715 MCALLISTER ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1176,019,700 CENTRAL AV,"700 CENTRAL AV,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1177,025,644 LYON ST,"644 LYON ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1238,001,909 PAGE ST,"909 PAGE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1368,036,136 09TH AV,"136 09TH AV,SAN FRANCISCO CA",2,Non-Compliant,1
small_red,1200,013B,430 BAKER ST,"430 BAKER ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,1208,007,1600 FELL ST,"1600 FELL ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0755,006,1350 GOLDEN GATE AV,"1350 GOLDEN GATE AV,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0672,004,1440 SUTTER ST,"1440 SUTTER ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0754,006B,1460 GOLDEN GATE AV,"1460 GOLDEN GATE AV,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0617,013,2080 GOUGH ST,"2080 GOUGH ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0638,004,2120 CALIFORNIA ST,"2120 CALIFORNIA ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0597,019,1565 JACKSON ST,"1565 JACKSON ST,SAN FRANCISCO CA",2,Non-Compliant,3
small_red,0652,001,2201 CALIFORNIA ST,"2201 CALIFORNIA ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0665,023,1791 PINE ST,"1791 PINE ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0643,010,1650 CALIFORNIA ST,"1650 CALIFORNIA ST,SAN FRANCISCO CA",2,Non-Compliant,3
small_red,0651,032,1905 LAGUNA ST,"1905 LAGUNA ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0832,005,230 OAK ST,"230 OAK ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0843,008,600 PAGE ST,"600 PAGE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0808,043,465 GROVE ST,"465 GROVE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0809,004,325 FRANKLIN ST,"325 FRANKLIN ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0803,005,719 FILLMORE ST,"719 FILLMORE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0803,002,745 FILLMORE ST,"745 FILLMORE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0825,035,1001 FELL ST,"1001 FELL ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0828,005,600 OAK ST,"600 OAK ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0809,017,351 GROVE ST,"351 GROVE ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_red,0824,005,508 SCOTT ST,"508 SCOTT ST,SAN FRANCISCO CA",2,Non-Compliant,5
small_yellow,0535,007,2350 UNION ST,"2350 UNION ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0535,009,2360 UNION ST,"2360 UNION ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0527,020C,1575 FILBERT ST,"1575 FILBERT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0528,002,2625 FRANKLIN ST,"2625 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0540,038,2192 GREEN ST,"2192 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0535,023,2351 FILBERT ST,"2351 FILBERT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0539,015A,2264 GREEN ST,"2264 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0541,014,2828 WEBSTER ST,"2828 WEBSTER ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0548,005,2201 LARKIN ST,"2201 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0541,004,2006 GREEN ST,"2006 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0541,011A,2060 GREEN ST,"2060 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0555,016B,2080 VALLEJO ST,"2080 VALLEJO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0555,025,1949 GREEN ST,"1949 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0552,044,1665 GREEN ST,"1665 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0552,010,1730 VALLEJO ST,"1730 VALLEJO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0557,035,2195 GREEN ST,"2195 GREEN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0562,031,2447 VALLEJO ST,"2447 VALLEJO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0566,004,2617 LAGUNA ST,"2617 LAGUNA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0576,011,1856 PACIFIC AV,"1856 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0582,024,2635 FILLMORE ST,"2635 FILLMORE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0572,010,1416 BROADWAY,"1416 BROADWAY ,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0575,007,1750 PACIFIC AV,"1750 PACIFIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0499,002A,1304 LOMBARD ST,"1304 LOMBARD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0500,021A,2760 POLK ST,"2760 POLK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0507,040,3101 LAGUNA ST,"3101 LAGUNA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0520,007,1730 FILBERT ST,"1730 FILBERT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0502,005A,1414 GREENWICH ST,"1414 GREENWICH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0505,015,1671 LOMBARD ST,"1671 LOMBARD ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0524,015A,1380 FILBERT ST,"1380 FILBERT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0524,021,2560 POLK ST,"2560 POLK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0523,017,1425 GREENWICH ST.,"1425 GREENWICH ST.,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0524,004,2439 LARKIN ST,"2439 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0525,003,2345 LARKIN ST,"2345 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0526,017,2510 VAN NESS AV,"2510 VAN NESS AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0524,009,2401 LARKIN ST,"2401 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,1185,033,1639 FULTON ST,"1639 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1185,018,1678 GROVE ST,"1678 GROVE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1199,010,1534 HAYES ST,"1534 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1199,018,422 LYON ST,"422 LYON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1195,006,1974 HAYES ST,"1974 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1197,024A,700 MASONIC AV,"700 MASONIC AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1203,032,1239 HAYES ST,"1239 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1204,022,412 BRODERICK ST,"412 BRODERICK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1201,036,1329 GROVE ST,"1329 GROVE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1202,006,1220 HAYES ST,"1220 HAYES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1188,015,1921 FULTON ST,"1921 FULTON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,1193,035,2131 GROVE ST,"2131 GROVE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",5
small_yellow,5501,060,3341 CESAR CHAVEZ ST,"3341 CESAR CHAVEZ ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5501,071,3279 CESAR CHAVEZ ST,"3279 CESAR CHAVEZ ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5457,038,2845 SAN BRUNO AV,"2845 SAN BRUNO AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5712,001,10 GLADYS ST,"10 GLADYS ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5642,009,268 COLERIDGE ST,"268 COLERIDGE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5610A,046,32 LUNDYS LN,"32 LUNDYS LN,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,5512,030,1545 HAMPSHIRE ST,"1545 HAMPSHIRE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,6569,015A,3475 26TH ST,"3475 26TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",9
small_yellow,6615,041,1530 DOLORES ST,"1530 DOLORES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6600,013,150 28TH ST,"150 28TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6599,037,2 28TH ST,"2 28TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6597,005,40 TIFFANY AV,"40 TIFFANY AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6655,047,45 WHITNEY ST,"45 WHITNEY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6651,033,501 30TH ST,"501 30TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6620,026,1595 NOE ST,"1595 NOE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6617,015,156 29TH ST,"156 29TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6597,007S,122 TIFFANY AV,"122 TIFFANY AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,6594,001,101 27TH ST,"101 27TH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,2359,012,2028 TARAVAL ST,"2028 TARAVAL ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",4
small_yellow,7543,031,36 ADDISON ST,"36 ADDISON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,2355,013,2396 27TH AV,"2396 27TH AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",4
small_yellow,7543,100,116 ADDISON ST,"116 ADDISON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,2350,001G,2300 22ND AV,"2300 22ND AV,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",4
small_yellow,7543,100,106 ADDISON ST,"106 ADDISON ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",8
small_yellow,2085,001,4101 NORIEGA ST,"4101 NORIEGA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",4
